Equipo;Status del sistema;Denominación de la ubicación técnica;Centro de coste;Denominación de objeto técnico;Número-identificación técnica;Fabricante del activo fijo;Número de pieza de fabricante;Fabricante número de serie;Denominación de tipo;Peso bruto;Unidad de peso;Tamaño/Dimensión;Creado el;Valor de adquisición;Moneda;Modificado el;Tp.objeto técnico;Perfil de catálogo;Indicador ABC;Fecha de adquisición;Fe.puesta servicio;Equipo superior
10029667;DISP PTBO;;1114045;021-01M_XF4FS7 Tanque_enterrado;021-01M_XF4FS7;;;;;0.000;;4.02X2.38;25/07/2016;0.00;;27/10/2021;ZP;;;;;
10029668;MONT;Tanques-tuberías -Tanques enterrados;1114045;TK 1 -C1  Premium 4000/C2 G98 4000;021-02M_LM7AR2;;;;;0.000;;4.02X2.38;25/07/2016;0.00;;16/12/2025;ZP;TANQU-ENT;0;10/10/2016;10/10/2016;
10029669;MONT;Tanques-tuberías -Tanques enterrados;1114045;TK 2 -C1  Premium 4000/C2  Diesel 4000;021-02M_VH9YR9;;;;;0.000;;4.05X1.17;25/07/2016;0.00;;12/11/2025;ZP;TANQU-ENT;0;10/10/2016;10/10/2016;
10029670;DISP PTBO;;1114045;021-01M_OU5RE5 Tanque_enterrado;021-01M_OU5RE5;;;;;0.000;;4.05X1.17;25/07/2016;0.00;;27/10/2021;ZP;;;;;
10029671;MONT;Tanques-tuberías -Tanques enterrados;1114045;TK 3 - Regular 8000;021-01M_UN7JH3;;;;;0.000;;4.05X1.17;25/07/2016;0.00;;12/11/2025;ZP;TANQU-ENT;0;10/10/2016;10/10/2016;
10029672;MONT;Tanques-tuberías -Tanques enterrados;1114045;TK 4 - S/P 4000;021-01M_IP9UH5;;;;;0.000;;4.05X1.17;25/07/2016;0.00;;12/11/2025;ZP;TANQU-ENT;0;10/10/2016;10/10/2016;
10029673;MONT;Dispen.Bomb.Combust -Bomb. Sumergibles;1114045;Bomba_sumergible- REGULAR;N/A;FE PETRO;N/A;00030080;STP150;0.000;;;25/07/2016;0.00;;17/06/2025;ZP;BOMBA-SUM;0;25/07/2016;25/07/2016;
10029674;MONT;Dispen.Bomb.Combust -Bomb. Sumergibles;1114045;Bomba_sumergible- PREMIUM (TK1);N/A;FE PETRO;N/A;00030094;STP150;0.000;;;25/07/2016;0.00;;17/06/2025;ZP;BOMBA-SUM;0;25/07/2016;25/07/2016;
10029675;MONT;Dispen.Bomb.Combust -Bomb. Sumergibles;1114045;Bomba_sumergible- PREMIUM (TK2);N/A;FE PETRO;N/A;00030095;STP150;0.000;;;25/07/2016;0.00;;17/06/2025;ZP;BOMBA-SUM;0;25/07/2016;25/07/2016;
10029676;MONT;Dispen.Bomb.Combust -Bomb. Sumergibles;1114045;Bomba_sumergible- GAS98 (INOPERATIVO);N/A;FE PETRO;N/A;00030084;STP150;0.000;;;25/07/2016;0.00;;17/06/2025;ZP;BOMBA-SUM;0;25/07/2016;25/07/2016;
10029677;MONT;Dispen.Bomb.Combust -Bomb. Sumergibles;1114045;Bomba_sumergible- DB5;N/A;FE PETRO;N/A;00030083;STP150;0.000;;;25/07/2016;0.00;;17/06/2025;ZP;BOMBA-SUM;0;25/07/2016;25/07/2016;
